,County,2005,2006,2007,2008    ,2009,2010,2011,2012,2013,2014,State
2408,Moody County,4.9     ,4.0     ,3.7,4.3,6.7,7.0,6.4,5.5,4.6,4.1,SD
2409,Pennington County,3.6     ,3.0     ,2.7,2.9,4.9,5.2,4.8,4.4,3.9,3.4,SD
2410,Perkins County,4.0     ,3.0     ,2.9,3.1,4.2,4.2,4.3,4.0,3.7,3.3,SD
2411,Potter County,3.7     ,3.1     ,2.9,3.1,3.7,4.9,5.3,4.0,3.8,3.4,SD
2412,Roberts County,5.1     ,4.3     ,4.0,4.2,6.0,5.8,6.7,5.7,5.2,4.7,SD
2413,Sanborn County,3.5     ,2.9     ,2.4,2.7,4.0,4.2,4.2,3.5,3.0,2.5,SD
2414,Shannon County,10.9     ,8.2     ,7.8,8.4,10.9,12.9,14.2,14.2,13.5,13.2,SD
2415,Spink County,3.9     ,3.1     ,3.2,3.3,4.2,3.8,4.2,4.1,3.6,3.5,SD
2416,Stanley County,2.7     ,2.3     ,2.3,2.5,3.2,3.8,4.0,3.0,2.7,2.6,SD
2417,Sully County,2.9     ,2.4     ,2.2,2.2,3.0,3.6,3.8,3.1,2.9,2.8,SD
2418,Todd County,6.0     ,5.5     ,5.7,6.4,7.2,7.6,8.5,9.7,9.6,8.7,SD
2419,Tripp County,3.6     ,3.3     ,2.9,3.0,3.5,3.6,3.8,3.7,3.4,3.2,SD
2420,Turner County,3.7     ,3.1     ,3.0,3.3,5.2,4.6,4.1,3.5,3.0,2.9,SD
2421,Union County,4.0     ,3.3     ,3.0,3.4,6.0,5.8,5.2,4.7,4.1,3.7,SD
2422,Walworth County,5.1     ,4.1     ,3.9,4.3,5.1,6.9,7.0,6.1,5.4,5.3,SD
2423,Yankton County,3.5     ,3.0     ,2.6,2.8,5.6,4.9,4.5,3.7,3.3,3.0,SD
2424,Ziebach County,8.0     ,5.8     ,5.9,5.9,7.1,5.8,6.4,6.9,6.2,5.8,SD
2425,Anderson County,5.1     ,4.7     ,4.2,5.8,9.9,9.3,8.7,7.8,7.9,6.8,TN
2426,Bedford County,5.4     ,5.2     ,4.8,6.8,12.2,12.6,11.2,9.6,9.0,7.4,TN
2427,Benton County,8.3     ,7.1     ,6.1,8.7,13.9,12.3,11.4,9.8,9.8,9.0,TN
2428,Bledsoe County,7.9     ,6.5     ,5.8,8.4,14.0,13.2,11.2,10.3,10.4,8.7,TN
2429,Blount County,4.7     ,4.3     ,3.9,6.2,9.9,9.1,8.1,7.0,6.9,6.0,TN
2430,Bradley County,5.3     ,5.0     ,4.5,6.4,9.5,9.4,8.9,7.3,7.1,6.2,TN
2431,Campbell County,6.0     ,6.1     ,5.3,7.8,13.2,12.5,11.7,11.0,11.0,9.4,TN
2432,Cannon County,5.3     ,5.1     ,4.8,7.4,12.0,11.1,10.2,8.3,7.6,6.2,TN
2433,Carroll County,7.6     ,6.3     ,6.3,9.1,16.0,14.6,12.1,10.9,11.8,10.1,TN
2434,Carter County,5.8     ,5.0     ,4.9,6.6,10.3,10.9,10.0,8.7,9.0,7.6,TN
2435,Cheatham County,4.4     ,4.1     ,3.8,5.5,9.4,9.0,8.5,7.2,6.6,5.5,TN
2436,Chester County,6.0     ,5.4     ,5.3,7.0,11.3,10.0,9.1,7.9,8.2,7.0,TN
2437,Claiborne County,5.6     ,5.4     ,5.4,7.5,12.1,10.8,11.0,9.8,10.7,8.7,TN
2438,Clay County,11.5     ,10.9     ,7.9,10.6,14.7,12.1,10.6,9.9,10.7,9.2,TN
2439,Cocke County,7.7     ,7.3     ,6.3,8.8,14.0,13.6,13.1,11.4,10.8,9.1,TN
2440,Coffee County,5.5     ,5.5     ,4.5,6.3,10.8,10.8,9.8,8.1,7.6,6.3,TN
2441,Crockett County,7.8     ,6.9     ,6.1,8.9,13.1,11.6,10.5,9.2,9.2,7.9,TN
2442,Cumberland County,6.7     ,6.2     ,5.5,7.8,11.4,10.7,10.1,9.0,9.3,8.0,TN
2443,Davidson County,4.5     ,4.2     ,3.8,5.4,8.9,8.2,7.6,6.2,5.9,5.1,TN
2444,Decatur County,7.8     ,6.5     ,5.6,8.5,13.4,13.1,11.6,10.2,10.5,9.6,TN
2445,DeKalb County,5.8     ,5.4     ,4.4,6.7,10.9,11.7,11.0,9.4,9.7,8.0,TN
2446,Dickson County,5.0     ,4.6     ,4.2,6.9,11.1,10.2,9.5,8.3,7.7,6.2,TN
2447,Dyer County,6.1     ,5.8     ,5.0,7.5,13.9,12.1,12.4,10.9,10.4,8.4,TN
2448,Fayette County,6.8     ,6.2     ,6.1,7.4,11.1,9.9,9.5,8.6,8.8,7.5,TN
2449,Fentress County,7.1     ,6.6     ,6.3,9.4,13.4,12.4,11.4,9.6,9.6,8.4,TN
2450,Franklin County,5.5     ,5.7     ,4.9,6.7,10.9,10.1,9.3,7.7,7.2,6.1,TN
2451,Gibson County,8.5     ,7.7     ,6.9,9.5,14.7,12.0,11.4,10.3,11.0,9.0,TN
2452,Giles County,7.3     ,7.1     ,6.2,8.0,14.9,12.1,9.9,8.5,8.3,6.3,TN
2453,Grainger County,6.0     ,5.9     ,5.3,8.0,14.0,12.7,11.6,10.2,10.0,8.2,TN
2454,Greene County,8.6     ,7.9     ,6.9,9.3,15.8,12.8,11.4,10.1,9.6,8.3,TN
2455,Grundy County,7.5     ,8.0     ,5.9,8.4,14.1,12.6,12.3,10.0,9.9,9.4,TN
2456,Hamblen County,5.8     ,5.8     ,4.7,7.1,12.7,11.6,10.8,9.3,8.9,7.3,TN
2457,Hamilton County,4.7     ,4.4     ,3.9,5.7,9.0,8.3,7.7,6.9,7.2,6.3,TN
2458,Hancock County,9.0     ,7.0     ,5.6,8.3,14.8,15.8,13.8,11.7,11.7,10.0,TN
2459,Hardeman County,8.6     ,7.2     ,6.5,8.6,12.7,13.2,12.1,10.8,11.0,9.4,TN
2460,Hardin County,7.3     ,6.2     ,5.4,7.6,12.5,12.0,11.2,10.0,10.2,9.0,TN
2461,Hawkins County,6.2     ,5.8     ,4.6,6.7,11.3,10.9,9.8,8.6,8.6,7.3,TN
2462,Haywood County,8.3     ,7.6     ,7.0,10.5,15.9,15.6,13.8,11.5,11.7,9.9,TN
2463,Henderson County,7.4     ,6.7     ,6.5,10.2,18.1,14.3,11.1,9.6,10.5,8.8,TN
2464,Henry County,7.5     ,7.1     ,6.2,8.7,13.4,11.4,10.8,9.4,9.5,8.2,TN
2465,Hickman County,6.2     ,5.4     ,5.4,8.4,13.0,11.1,10.2,8.9,8.3,6.6,TN
2466,Houston County,8.5     ,7.4     ,5.4,8.1,12.1,12.0,11.1,11.0,10.8,9.9,TN
2467,Humphreys County,7.7     ,6.3     ,5.5,8.5,12.8,11.2,10.4,9.5,8.7,8.0,TN
2468,Jackson County,8.6     ,6.8     ,6.8,8.6,13.7,12.6,11.6,10.3,10.1,8.7,TN
2469,Jefferson County,5.9     ,5.7     ,5.1,7.1,12.6,11.5,10.4,9.3,9.1,7.5,TN
2470,Johnson County,8.2     ,6.6     ,5.6,8.7,12.8,12.8,11.5,9.4,9.0,7.0,TN
2471,Knox County,4.2     ,3.9     ,3.4,5.0,8.1,7.4,6.9,6.1,6.3,5.5,TN
2472,Lake County,8.2     ,6.9     ,5.8,7.7,11.0,11.1,12.0,10.3,10.0,9.2,TN
2473,Lauderdale County,8.7     ,8.0     ,6.6,12.4,18.8,14.2,12.4,10.8,11.6,9.9,TN
2474,Lawrence County,10.0     ,11.3     ,8.1,9.8,15.4,12.3,10.4,9.6,9.9,8.2,TN
2475,Lewis County,9.5     ,7.2     ,7.3,10.0,15.7,15.0,12.9,10.7,10.5,9.0,TN
2476,Lincoln County,4.8     ,4.2     ,3.6,4.9,7.2,7.2,6.6,6.0,6.2,5.3,TN
2477,Loudon County,4.7     ,4.4     ,3.9,5.7,9.7,9.3,8.5,7.5,7.7,6.7,TN
2478,McMinn County,6.1     ,5.7     ,5.5,8.7,14.0,12.5,11.1,9.1,9.0,7.6,TN
2479,McNairy County,6.0     ,6.1     ,6.0,9.1,14.0,12.8,11.3,10.2,11.6,10.6,TN
2480,Macon County,5.7     ,6.8     ,6.0,8.3,12.3,11.2,10.2,8.2,8.1,6.5,TN
2481,Madison County,5.6     ,5.4     ,4.9,6.7,10.6,10.0,9.3,8.1,8.1,6.9,TN
2482,Marion County,6.2     ,5.7     ,5.9,7.7,12.3,11.1,10.4,9.1,9.1,7.9,TN
2483,Marshall County,6.5     ,6.3     ,7.5,9.2,17.4,14.0,11.4,9.3,8.2,6.4,TN
2484,Maury County,6.0     ,5.5     ,7.8,8.1,13.8,12.3,10.3,7.9,7.4,6.1,TN
2485,Meigs County,7.3     ,6.8     ,6.2,8.9,14.6,13.1,11.9,10.2,10.1,8.6,TN
2486,Monroe County,6.1     ,5.8     ,5.9,9.9,17.5,12.7,11.4,9.9,9.8,7.7,TN
2487,Montgomery County,4.9     ,4.7     ,4.7,6.3,8.9,8.5,8.6,7.6,7.6,6.7,TN
2488,Moore County,4.6     ,4.7     ,4.1,5.6,9.5,7.9,6.9,5.8,6.0,5.1,TN
2489,Morgan County,7.5     ,6.7     ,5.8,7.6,11.3,11.4,10.8,10.2,10.1,8.8,TN
2490,Obion County,6.0     ,5.6     ,5.5,7.0,10.3,9.6,12.1,13.4,11.5,9.5,TN
2491,Overton County,5.8     ,6.7     ,7.2,9.0,13.4,10.7,10.2,8.8,8.9,7.9,TN
2492,Perry County,7.2     ,6.7     ,7.6,16.0,23.1,13.5,11.7,9.7,9.4,8.3,TN
2493,Pickett County,8.5     ,8.4     ,8.1,10.7,15.0,11.1,11.4,9.4,9.6,8.8,TN
2494,Polk County,5.9     ,5.6     ,5.0,8.1,12.6,11.2,11.1,9.8,9.1,8.0,TN
2495,Putnam County,5.0     ,5.7     ,4.5,6.4,9.7,9.4,8.8,7.9,7.9,6.9,TN
2496,Rhea County,6.8     ,6.3     ,5.8,8.0,13.5,12.3,11.2,10.2,10.7,8.5,TN
2497,Roane County,5.8     ,5.4     ,4.4,5.9,9.1,9.2,9.0,8.5,8.7,7.4,TN
2498,Robertson County,4.9     ,4.4     ,4.4,6.2,10.2,9.2,8.3,7.0,6.7,5.7,TN
2499,Rutherford County,4.2     ,4.0     ,3.7,5.8,9.7,8.9,7.9,6.5,6.2,5.3,TN
2500,Scott County,6.9     ,6.7     ,7.0,11.5,18.3,17.0,17.5,15.4,14.4,11.8,TN
2501,Sequatchie County,5.7     ,4.5     ,4.8,7.6,12.3,12.1,10.1,8.2,8.4,7.4,TN
2502,Sevier County,6.1     ,5.4     ,5.0,7.1,10.9,10.4,10.0,8.8,8.4,7.2,TN
2503,Shelby County,6.2     ,5.7     ,5.1,6.9,10.1,9.8,9.5,8.6,8.9,7.9,TN
2504,Smith County,6.0     ,5.8     ,5.3,8.2,13.6,12.3,10.1,8.0,7.6,6.3,TN
2505,Stewart County,7.4     ,7.6     ,6.1,8.5,11.9,12.4,12.4,10.9,10.8,9.2,TN
2506,Sullivan County,5.2     ,4.5     ,4.0,5.3,8.8,9.0,8.2,7.5,7.5,6.7,TN
2507,Sumner County,4.6     ,4.2     ,4.1,6.0,9.8,8.9,7.9,6.5,6.1,5.3,TN
2508,Tipton County,6.4     ,5.6     ,5.1,7.9,12.4,11.3,10.3,8.8,9.4,8.3,TN
2509,Trousdale County,6.6     ,6.1     ,5.7,8.4,12.1,10.8,10.3,8.6,8.4,7.1,TN
2510,Unicoi County,6.2     ,6.2     ,5.2,7.4,11.6,11.9,11.0,10.1,10.3,9.0,TN
2511,Union County,5.6     ,4.9     ,4.4,6.3,10.8,10.8,10.1,9.2,9.2,7.7,TN
2512,Van Buren County,8.6     ,7.9     ,5.9,8.3,14.9,13.2,11.7,11.5,11.5,9.6,TN
2513,Warren County,7.9     ,9.0     ,6.4,8.5,14.4,10.9,10.2,8.8,8.6,7.0,TN
2514,Washington County,4.9     ,4.5     ,4.0,5.6,8.7,8.7,8.0,7.0,7.2,6.4,TN
2515,Wayne County,12.2     ,10.4     ,7.4,10.1,13.4,11.4,10.7,9.5,9.7,8.8,TN
2516,Weakley County,7.0     ,6.8     ,6.5,8.2,12.5,11.0,11.4,10.9,10.3,8.6,TN
2517,White County,9.7     ,9.1     ,6.0,8.4,14.2,10.5,9.8,9.8,9.5,7.5,TN
2518,Williamson County,3.8     ,3.5     ,3.7,4.6,7.5,6.6,5.9,4.9,5.1,4.5,TN
2519,Wilson County,4.6     ,4.5     ,4.0,5.7,9.0,8.4,7.5,6.4,6.3,5.3,TN
2520,Anderson County,6.3     ,5.8     ,5.0,5.6,8.7,8.1,7.4,6.4,5.8,4.8,TX
2521,Andrews County,4.0     ,3.5     ,3.2,3.3,7.0,6.2,5.0,4.0,3.8,2.9,TX
2522,Angelina County,5.5     ,4.6     ,4.3,4.7,8.2,8.5,7.9,6.9,6.4,5.2,TX
2523,Aransas County,5.5     ,4.7     ,4.0,4.4,6.8,9.2,8.7,6.9,6.5,5.5,TX
2524,Archer County,3.5     ,3.4     ,3.2,3.6,5.9,6.7,6.1,5.4,5.2,4.5,TX
2525,Armstrong County,3.9     ,3.5     ,3.4,3.5,4.5,4.9,4.7,4.5,4.0,3.2,TX
2526,Atascosa County,5.2     ,4.6     ,4.1,4.7,7.4,8.2,8.0,6.7,6.2,4.9,TX
2527,Austin County,4.5     ,4.3     ,3.7,4.2,7.3,8.0,7.9,6.4,5.8,4.7,TX
2528,Bailey County,5.4     ,4.9     ,4.3,4.1,5.6,7.9,7.5,6.8,7.1,5.1,TX
2529,Bandera County,4.5     ,4.2     ,3.8,4.4,6.5,7.8,7.5,6.5,6.0,4.7,TX
2530,Bastrop County,5.1     ,4.6     ,4.1,4.9,7.9,8.2,7.9,6.7,6.1,4.8,TX
2531,Baylor County,4.8     ,4.1     ,3.8,3.7,5.6,7.0,5.9,5.0,5.2,4.3,TX
2532,Bee County,7.1     ,6.3     ,5.9,6.1,9.0,8.9,8.6,7.0,6.5,5.7,TX
2533,Bell County,5.0     ,5.0     ,4.4,4.8,6.7,7.7,8.0,7.4,6.8,5.8,TX
2534,Bexar County,5.1     ,4.7     ,4.1,4.6,6.7,7.3,7.2,6.3,5.8,4.6,TX
2535,Blanco County,4.1     ,3.8     ,3.3,3.6,5.2,6.0,5.7,5.1,4.6,3.7,TX
2536,Borden County,3.7     ,4.4     ,4.0,3.3,5.4,6.4,5.4,4.1,3.8,3.0,TX
2537,Bosque County,5.1     ,4.9     ,4.2,4.5,7.8,8.8,8.3,7.2,6.4,5.2,TX
2538,Bowie County,5.4     ,5.3     ,4.7,4.9,6.6,8.4,8.3,7.4,7.5,6.3,TX
2539,Brazoria County,5.7     ,5.0     ,4.4,5.1,8.1,8.5,8.0,6.7,6.1,5.0,TX
2540,Brazos County,4.2     ,4.0     ,3.6,3.9,5.5,6.3,6.0,5.3,4.9,3.9,TX
2541,Brewster County,3.8     ,3.4     ,3.3,3.7,5.1,5.5,5.6,5.1,5.5,4.7,TX
2542,Briscoe County,5.4     ,4.6     ,4.2,4.3,5.0,6.1,6.1,5.4,5.5,4.3,TX
2543,Brooks County,6.8     ,6.2     ,5.3,5.3,9.3,12.0,10.6,8.6,8.6,7.6,TX
2544,Brown County,4.7     ,4.4     ,4.1,4.4,6.8,8.2,8.0,6.7,6.4,5.1,TX
2545,Burleson County,4.1     ,4.0     ,3.8,4.4,6.9,7.9,7.3,6.3,6.1,4.7,TX
2546,Burnet County,4.4     ,4.1     ,3.4,3.9,6.1,6.8,6.7,5.9,5.4,4.2,TX
2547,Caldwell County,5.3     ,4.9     ,4.4,5.2,8.3,8.6,8.4,7.2,6.5,5.1,TX
2548,Calhoun County,5.8     ,4.8     ,4.4,4.7,8.5,8.8,8.5,7.3,6.1,4.8,TX
2549,Callahan County,4.1     ,3.9     ,3.4,3.6,5.8,7.3,7.1,6.0,5.6,4.4,TX
2550,Cameron County,7.6     ,6.6     ,5.9,6.6,9.7,11.2,11.5,10.3,9.9,8.3,TX
2551,Camp County,5.8     ,5.0     ,4.5,4.8,8.9,9.1,8.9,8.0,7.2,6.0,TX
2552,Carson County,3.9     ,3.5     ,3.1,3.3,5.8,5.4,5.0,4.6,4.4,3.3,TX
2553,Cass County,6.2     ,5.8     ,5.3,6.1,11.3,11.2,10.6,9.2,9.1,7.6,TX
2554,Castro County,5.5     ,4.6     ,3.7,3.6,4.8,5.4,5.0,4.4,4.7,4.0,TX
2555,Chambers County,6.2     ,5.2     ,4.6,5.7,9.1,9.7,9.3,8.0,7.2,5.7,TX
2556,Cherokee County,5.6     ,5.3     ,4.8,5.8,8.8,8.8,8.2,7.3,6.9,5.8,TX
2557,Childress County,5.6     ,5.5     ,4.8,5.0,6.1,5.6,5.2,4.4,4.2,3.7,TX
2558,Clay County,3.8     ,3.8     ,3.5,3.9,6.9,7.5,6.4,5.6,5.5,4.6,TX
2559,Cochran County,5.7     ,6.0     ,4.9,4.7,6.4,8.1,8.5,7.5,6.5,5.1,TX
2560,Coke County,5.5     ,5.5     ,5.5,7.7,8.1,6.1,5.7,5.1,5.0,4.2,TX
2561,Coleman County,4.6     ,4.3     ,3.5,4.1,6.9,9.1,8.7,7.4,7.4,6.0,TX
2562,Collin County,4.7     ,4.2     ,3.8,4.5,7.3,7.2,6.7,5.9,5.5,4.5,TX
2563,Collingsworth County,4.4     ,4.3     ,3.3,3.9,5.4,5.6,5.8,5.0,5.1,4.1,TX
2564,Colorado County,4.5     ,4.3     ,3.6,3.9,6.4,8.1,7.7,6.3,5.7,4.4,TX
2565,Comal County,4.5     ,4.1     ,3.6,4.0,6.1,7.0,6.9,6.0,5.9,4.5,TX
2566,Comanche County,4.7     ,4.5     ,3.8,3.8,6.0,7.6,7.3,6.3,5.8,4.8,TX
2567,Concho County,5.9     ,5.4     ,4.9,5.1,7.1,5.7,4.8,4.3,3.9,3.0,TX
2568,Cooke County,4.2     ,3.8     ,3.5,3.5,6.5,7.3,6.0,5.0,4.9,3.8,TX
2569,Coryell County,6.2     ,6.4     ,5.9,6.2,8.2,7.5,7.7,7.4,7.3,6.0,TX
2570,Cottle County,5.6     ,4.9     ,4.0,4.0,5.5,7.0,7.5,7.4,6.7,5.7,TX
2571,Crane County,5.1     ,4.4     ,4.0,4.1,8.7,7.6,6.6,4.9,4.4,3.9,TX
2572,Crockett County,3.7     ,3.4     ,2.9,2.9,8.5,8.5,6.5,5.0,5.0,3.8,TX
2573,Crosby County,5.4     ,5.4     ,4.7,4.9,6.9,8.0,8.4,7.2,5.9,4.6,TX
2574,Culberson County,3.9     ,3.1     ,2.7,2.9,4.0,7.1,6.8,5.9,5.0,4.1,TX
2575,Dallam County,3.3     ,3.3     ,2.8,3.0,4.2,5.3,4.4,3.7,3.5,3.0,TX
2576,Dallas County,5.7     ,5.1     ,4.6,5.3,8.2,8.6,8.1,7.1,6.5,5.4,TX
2577,Dawson County,6.8     ,6.5     ,5.2,5.3,8.0,7.7,7.5,6.4,6.3,5.0,TX
2578,Deaf Smith County,4.6     ,4.2     ,3.5,3.8,5.2,5.8,5.4,4.7,4.4,3.6,TX
2579,Delta County,5.5     ,5.2     ,4.7,5.3,8.7,7.9,8.1,6.7,6.3,6.0,TX
2580,Denton County,4.6     ,4.2     ,3.8,4.4,7.1,7.1,6.6,5.7,5.3,4.4,TX
2581,DeWitt County,4.6     ,4.4     ,3.9,4.1,7.5,7.8,6.4,4.8,4.7,3.8,TX
2582,Dickens County,5.2     ,4.3     ,3.8,5.0,7.2,11.3,15.0,10.5,9.1,6.3,TX
2583,Dimmit County,8.2     ,7.6     ,6.2,6.5,10.0,10.5,7.7,5.8,4.9,3.8,TX
2584,Donley County,4.9     ,4.7     ,4.3,4.3,5.8,6.9,6.4,5.8,5.0,4.9,TX
2585,Duval County,6.2     ,5.4     ,4.9,5.3,10.9,11.6,9.4,7.0,6.3,5.5,TX
2586,Eastland County,5.2     ,4.8     ,4.3,4.4,7.5,8.6,7.6,6.6,6.0,4.8,TX
2587,Ector County,4.5     ,3.8     ,3.3,3.4,8.1,8.3,6.1,4.6,4.3,3.4,TX
2588,Edwards County,4.0     ,4.3     ,3.9,3.7,7.1,7.1,6.6,6.4,5.7,4.4,TX
2589,Ellis County,5.3     ,5.0     ,4.3,5.0,8.0,8.0,7.8,6.8,6.1,4.9,TX
2590,El Paso County,7.0     ,6.7     ,5.8,6.1,8.8,9.2,9.5,8.6,8.0,6.5,TX
2591,Erath County,4.1     ,3.9     ,3.6,3.7,6.3,6.4,6.0,5.5,5.3,4.2,TX
2592,Falls County,6.2     ,6.2     ,5.2,5.8,8.7,8.5,8.3,7.4,7.2,5.6,TX
2593,Fannin County,6.4     ,6.0     ,5.1,5.8,8.6,8.1,8.3,7.2,7.1,5.4,TX
2594,Fayette County,3.9     ,3.7     ,3.2,3.4,5.5,6.1,5.8,4.8,4.4,3.4,TX
2595,Fisher County,4.2     ,4.0     ,3.9,3.8,6.0,7.0,6.6,5.3,5.3,4.6,TX
2596,Floyd County,5.7     ,5.9     ,5.1,4.7,6.5,7.9,7.7,6.4,8.7,7.0,TX
2597,Foard County,4.8     ,4.4     ,3.6,4.1,5.7,6.6,7.4,5.8,5.2,4.3,TX
2598,Fort Bend County,5.2     ,4.7     ,4.0,4.4,7.1,7.6,7.1,5.9,5.4,4.5,TX
2599,Franklin County,4.8     ,4.1     ,3.8,4.2,6.8,8.6,8.1,7.3,6.4,5.1,TX
2600,Freestone County,4.2     ,3.9     ,3.6,4.0,6.3,8.2,7.7,6.6,6.8,5.7,TX
2601,Frio County,6.0     ,5.4     ,4.8,5.3,7.5,7.3,6.5,5.1,4.6,3.5,TX
2602,Gaines County,4.8     ,4.6     ,3.7,3.8,6.3,5.9,5.1,4.2,4.1,3.2,TX
2603,Galveston County,5.7     ,5.1     ,4.6,5.6,8.2,9.1,8.8,7.6,6.8,5.5,TX
2604,Garza County,4.5     ,3.8     ,3.4,3.8,5.2,5.9,6.0,5.0,4.5,3.5,TX
2605,Gillespie County,3.4     ,3.3     ,2.8,3.0,4.4,5.5,5.3,4.7,4.4,3.6,TX
2606,Glasscock County,3.8     ,4.5     ,3.5,3.8,4.6,4.8,4.3,4.1,3.6,2.7,TX
2607,Goliad County,4.8     ,4.0     ,3.8,3.7,6.9,7.4,6.4,5.5,5.2,4.1,TX
2608,Gonzales County,4.1     ,4.0     ,3.8,3.9,5.5,6.8,6.1,5.1,5.1,3.9,TX
2609,Gray County,4.2     ,3.9     ,3.4,3.4,8.1,8.6,6.8,5.6,5.1,4.1,TX
2610,Grayson County,5.4     ,4.8     ,4.6,5.1,8.0,8.2,7.9,6.8,6.2,4.8,TX
2611,Gregg County,4.9     ,4.5     ,3.8,3.9,7.1,7.9,7.1,6.1,5.9,4.8,TX
2612,Grimes County,6.1     ,5.3     ,4.6,5.1,8.6,8.9,7.8,6.4,5.9,4.8,TX
2613,Guadalupe County,4.6     ,4.3     ,3.7,4.2,6.4,6.7,6.5,5.7,5.4,4.3,TX
2614,Hale County,5.3     ,5.2     ,4.6,4.4,6.0,7.4,7.5,6.9,13.2,9.4,TX
2615,Hall County,5.8     ,6.1     ,5.3,5.5,8.2,9.1,8.6,7.8,7.0,6.3,TX
2616,Hamilton County,4.6     ,4.2     ,3.5,3.5,5.6,6.8,6.3,5.8,5.9,4.6,TX
2617,Hansford County,3.6     ,3.6     ,3.0,3.2,5.2,4.3,4.0,3.4,3.2,2.6,TX
2618,Hardeman County,4.5     ,4.0     ,3.6,3.5,7.3,8.3,6.8,5.7,5.6,5.0,TX
2619,Hardin County,6.6     ,5.2     ,4.6,5.2,8.5,9.9,9.4,8.4,7.8,6.2,TX
2620,Harris County,5.7     ,5.0     ,4.2,4.7,7.6,8.3,7.8,6.6,6.0,4.9,TX
2621,Harrison County,5.6     ,5.1     ,4.4,4.6,8.2,9.4,8.4,7.3,6.7,5.5,TX
2622,Hartley County,3.9     ,4.0     ,3.2,3.3,4.1,4.2,3.9,3.3,3.1,2.6,TX
2623,Haskell County,3.8     ,3.9     ,3.5,3.2,5.1,5.4,5.4,5.3,4.9,4.0,TX
2624,Hays County,4.5     ,4.2     ,3.7,4.3,6.6,7.0,6.7,5.8,5.3,4.2,TX
2625,Hemphill County,2.9     ,2.7     ,2.0,1.9,3.4,3.9,3.5,2.9,3.0,2.4,TX
2626,Henderson County,5.8     ,5.1     ,4.4,5.2,8.1,8.8,8.5,7.5,7.0,5.5,TX
2627,Hidalgo County,7.9     ,7.3     ,6.5,7.1,10.5,11.8,11.6,10.6,10.2,8.7,TX
2628,Hill County,6.3     ,5.5     ,4.6,4.9,7.8,8.4,8.2,6.9,6.4,5.3,TX
2629,Hockley County,4.5     ,4.1     ,3.6,3.7,6.7,7.1,6.3,5.3,5.0,3.9,TX
2630,Hood County,5.2     ,4.9     ,4.1,4.2,7.2,8.5,7.9,6.5,6.0,4.9,TX
2631,Hopkins County,4.6     ,4.2     ,3.8,4.1,6.1,7.4,7.3,6.4,5.7,4.7,TX
2632,Houston County,6.5     ,6.1     ,5.8,6.4,9.1,7.7,7.9,7.3,6.5,5.2,TX
2633,Howard County,5.3     ,4.8     ,4.0,4.5,7.3,7.2,6.5,5.6,5.3,4.4,TX
2634,Hudspeth County,6.9     ,6.9     ,5.0,3.9,5.4,7.9,7.9,7.2,6.8,6.1,TX
2635,Hunt County,5.5     ,5.2     ,4.6,5.3,8.2,8.9,8.8,8.2,7.3,5.8,TX
2636,Hutchinson County,5.1     ,4.4     ,3.9,4.1,6.8,8.4,7.8,6.4,6.1,4.4,TX
2637,Irion County,3.6     ,3.5     ,2.9,3.5,5.2,5.3,5.4,4.6,4.2,3.7,TX
2638,Jack County,4.6     ,4.1     ,3.0,3.1,6.2,7.8,6.9,5.7,5.2,3.8,TX
2639,Jackson County,4.9     ,4.6     ,3.7,4.0,7.4,7.0,6.2,5.1,5.0,3.9,TX
2640,Jasper County,8.0     ,6.2     ,5.6,6.3,10.1,12.4,12.3,10.6,10.3,8.1,TX
2641,Jeff Davis County,3.9     ,4.0     ,3.3,3.6,4.8,4.9,5.0,4.9,4.1,3.7,TX
2642,Jefferson County,7.8     ,6.0     ,5.4,6.6,9.5,11.3,11.4,11.0,10.8,8.2,TX
2643,Jim Hogg County,4.8     ,4.3     ,3.7,3.8,7.7,10.3,8.5,6.4,7.0,5.8,TX
2644,Jim Wells County,5.5     ,4.6     ,3.9,4.2,9.0,10.0,7.8,6.0,6.0,5.2,TX
2645,Johnson County,4.9     ,4.6     ,4.1,4.6,8.2,8.7,7.7,6.6,6.1,5.0,TX
2646,Jones County,5.4     ,5.2     ,4.7,4.9,7.7,8.8,8.2,7.2,6.6,5.4,TX
2647,Karnes County,6.3     ,6.1     ,5.5,5.8,9.0,9.1,7.8,6.1,5.3,3.8,TX
2648,Kaufman County,5.5     ,5.0     ,4.6,5.2,8.2,8.5,8.0,6.9,6.3,5.1,TX
2649,Kendall County,4.2     ,3.9     ,3.4,3.8,5.7,6.2,6.1,5.4,5.0,4.0,TX
2650,Kenedy County,2.8     ,2.9     ,3.0,3.4,6.0,6.8,6.3,5.1,4.0,2.9,TX
2651,Kent County,4.1     ,4.0     ,3.3,4.1,5.2,4.8,4.7,3.8,3.8,3.2,TX
2652,Kerr County,4.1     ,4.0     ,3.4,3.9,5.8,6.7,6.7,5.8,5.5,4.3,TX
2653,Kimble County,4.1     ,3.8     ,3.3,3.7,5.2,6.0,6.2,4.9,4.9,3.8,TX
2654,King County,4.2     ,4.4     ,4.6,4.5,5.1,4.3,3.8,4.5,4.6,4.3,TX
2655,Kinney County,6.0     ,5.8     ,4.7,5.2,7.7,11.2,10.0,8.6,9.1,7.1,TX
2656,Kleberg County,5.1     ,4.5     ,4.1,4.2,6.7,8.4,7.9,6.8,6.4,5.4,TX
